,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大日降水量 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),全天日射量 (MJ/M**2),降雪合計 (cm),降雪の日合計の最大 (cm),最深積雪,雲量,雪日数,霧日数,雷日数
1910,　,1012.1 ],1431.4 ],141.4 ],　,　,15.9 ],20.2 ],12.0 ],29.9 ],-5.8 ],85 ],　,　,　,,　,,927.4 ],　,　,　,　,　,　,　,　
1954,1014.2,1014.8,1422.4,66.2,32.5,7.4,13.4,17.3,9.7,34.4,-6.1,76.0,　,3.9,　,,　,,1961.7,　,21.0,　,　,6.5,16.0,14.0,8.0
1955,1012.8,1013.4,1583.3,125.1,37.8,11.0,13.5,17.9,9.7,32.2,-6.6,79.0,　,3.6,　,,　,,2184.4,　,6.0,　,　,6.1,12.0,31.0,18.0
1956,1013.0,1013.6,1373.0,77.7,38.2,13.0,12.7,16.9,9.0,33.0,-6.3,76.0,　,3.4,　,,　,,2053.3,　,15.0,　,1 ],6.2,22.0,27.0,7.0
1957,1013.5,1014.1,1406.7,93.8,31.1,8.8,13.2,17.4,9.4,30.8,-6.5,76.0,　,3.6,　,,　,,2081.9,　,11.0,　,　,6.4,19.0,12.0,15.0
1958,1014.0,1014.5,1490.3,117.2,47.2,17.8,12.9,17.2,9.3,34.7,-6.9,77.0,　,3.3,　,,　,,2081.9,　,18.0,　,　,6.3,13.0,30.0,9.0
1959,1013.9,1014.4,1412.3,107.1,32.4,13.8,13.6,17.7,10.1,30.4,-5.5,78.0,　,3.2,　,,　,,1874.7,　,10.0,　,　,6.7,6.0,32.0,12.0
1960,1013.8,1014.4,1116.4,78.2,44.0,19.0,13.1,17.6,9.4,30.4,-6.4,76.0,　,3.4,　,,　,,2172.5,　,4.0,　,　,6.1,20.0,24.0,9.0
1961,1013.6,1014.2,1350.3,89.1,27.9,14.0,13.7,17.9,10.0,34.0,-5.8,75.0,21.0,3.2,20.3,南南東,　,,2142.7,11.5,2.0,2 ],2 ],6.0,20.0,37.0,14.0
1962,1013.3,1013.8,1395.8,110.1,49.2,16.4,13.0,17.6,9.1,34.5,-5.7,74.0,18.0,3.0,18.8,南,　,,2212.7,11.6,1.0,1.0,1.0,5.8,13.0,41.0,11.0
1963,1013.2,1013.8,1275.9,88.7,61.8,13.5,12.2,16.7,8.6,33.8,-8.0,76.0,17.0,2.9,16.2,北北東,　,,2021.2,14.5,4.0,2.0,2.0,6.3,21.0,61.0,9.0
1964,1015.0,1015.6,1220.4,82.9,15.5,8.4,13.0,17.2,9.1,31.9,-4.9,76.0,25.0,3.0,21.8,南南西,　,,1980.5,13.5,11.0,9.0,9.0,6.6,23.0,39.0,6.0
1965,1012.5,1013.1,1355.0,117.7,28.0,8.5,12.4,17.0,8.1,30.9,-5.6,72.0,17.0,3.1,19.0,南南西,　,,2227.1,13.9,10.0,7.0,7.0,5.9,24.0,51.0,13.0
